Device:,Stock Parts BOM,,,,,,,,,,,,
Version:,V1.0.0,,,,,,,,,,,,
Last Updated:,2024-09-03,,,,,,,,,,,,
,,,,,,,,Total filament (g),,Unit Cost,Total Estimated Cost,Build Cost,
,,,,,,,,,, $-   , $-   ,,
ID,Commercial Parts,,,,,,,,, $-   , $-   ,,
,Part,Description,,Manufacturer,Supplier,QTY / Device,QTY / PKG,PKGs,$/ PKG,$ / Device,Total Estimated Cost,,Link
,,"3.5 mm Stereo Cable, 6ft M/F",,Prime Cables,Prime Cables,,1,, $2.89 , $-   ,,,https://www.primecables.ca/p-312816-cab-648-all-35mm-stereo-plugjack-mf-cable-black-5-lengths-available-monoprice#sku312816
,,3.5 mm Mono Jack (square),,SCHURTER Inc.,Digikey,,1,, $2.16 , $-   ,,,https://www.digikey.ca/en/products/detail/schurter-inc/4832-2211/2646631
,,3.5 mm Mono Jack (rectangular),,CUI Devices,Digikey,,1,, $2.32 , $-   ,,,https://www.digikey.ca/en/products/detail/cui-inc/MJ-3502/281321
,,"3.5 mm Mono Cable, 10ft M/M",,Prime Cables,Prime Cables,,1,, $2.89 , $-   ,,,https://www.primecables.ca/p-370665-cab-aud-200-all-35mm-18-inch-mono-ts-male-to-male-28awg-ft4-cable-black#sku383507
,,M2 x 6mm Screw,,Uxcell,Amazon,,1000,, $12.99 , $-   ,,,https://www.amazon.ca/dp/B00GMQDSRI?ref_=cm_sw_r_cp_ud_dp_3V2BFBFRHQ3973DJJENP
,,Protoboard,,Adafruit Industries LLC.,Digikey,,3,, $3.60 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4785/13617529
,,SeeedStudio XIAO RP2040 Arduino,,"Seeed Technology Co., Ltd.",Digikey,,1,, $6.74 , $-   ,,,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/102010428/14672129
,,Mini Analog Breakout Board,,Adafruit Industries LLC.,Digikey,,1,, $2.16 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3246/6193594
,,Mini Analog Thumbstick,,Adafruit Industries LLC.,Digikey,,1,, $3.84 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/2765/6193582
,,5 Position Right Angle Female Header,,Sullins Connector Solutions,Digikey,,1,, $1.08 , $-   ,,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC051LGBN-RC/775899
,,7 Position Female Headers,,Sullins Connector Solutions,Digikey,,1,, $0.86 , $-   ,,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PPTC071LFBN-RC/810146
,,Right Angle Slide Switch/Toggle Switch/Slide Switch,,C&K,Digikey,,1,, $0.65 , $-   ,,,https://www.digikey.ca/en/products/detail/c-k/OS102011MA1QS1/1981431
,,"Wire, solid core, 1 foot, colour 1 (wh)",,CNC Tech,Digikey,,1,, $0.55 , $-   ,,,https://www.digikey.ca/en/products/detail/cnc-tech/1007-24-1-2000-002-1-TD/17799208
,,"Wire, solid core, 1 foot, colour 2 (blk)",,CNC Tech,Digikey,,1,, $0.79 , $-   ,,,https://www.digikey.ca/en/products/detail/cnc-tech/1007-24-1-2000-001-1-TD/17799235
,,"Wire, solid core, 1 foot, colour 3 (grn)",,CNC Tech,Digikey,,1,, $0.55 , $-   ,,,https://www.digikey.ca/en/products/detail/cnc-tech/1007-24-1-2000-007-1-TD/17799170
,,PS2 Joystick Module (Generic),,Wishiot,Amazon,,10,, $21.99 , $-   ,,,https://www.amazon.ca/gp/product/B089VXPHDH/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,,6V DC Motor,,GikFun,Amazon,,10,, $15.68 , $-   ,,,https://www.amazon.ca/gp/product/B06WLL6QM5/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
,,100 Ohm Resistor,,"KOA Speer Electronics, Inc.",Digikey,,1,, $0.17 , $-   ,,,https://www.digikey.ca/en/products/detail/koa-speer-electronics-inc/MF1-4LCT52R101J/21680263?s=N4IgTCBcDaIAQFkBiBGA9AFgDIGEAqArGAEooAMKAUiALoC%2BQA
,,10k Ohm Resistor,,"KOA Speer Electronics, Inc.",Mouser,,1,, $0.16 , $-   ,,,https://www.mouser.ca/ProductDetail/KOA-Speer/MF1-4LCT52R103J?qs=DG1n8gfZNTsQyNkYIaO24A%3D%3D
,,2.2k Ohm Resistor,,"KOA Speer Electronics, Inc.",Mouser,,1,, $0.16 , $-   ,,,https://www.mouser.ca/ProductDetail/KOA-Speer/MF1-4LCT52R222G?qs=91WPSIiQh9Kh6m%2FGxJ5MCA%3D%3D
,,220 Ohm Resistor,,"KOA Speer Electronics, Inc.",Mouser,,1,, $0.15 , $-   ,,,https://www.mouser.ca/ProductDetail/KOA-Speer/MF1-4LCT52R221J?qs=91WPSIiQh9JIjB%2FAtwkZiw%3D%3D
,,4.7k Ohm Resistor,,"KOA Speer Electronics, Inc.",Mouser,,1,, $0.16 , $-   ,,,https://www.mouser.ca/ProductDetail/KOA-Speer/MF1-4LCT52R472G?qs=91WPSIiQh9K2asC3F9ek6A%3D%3D
,,NeoPixels LED,,Adafruit Industries LLC.,Mouser,,5,, $7.18 , $-   ,,,https://www.mouser.ca/ProductDetail/Adafruit/1938?qs=GURawfaeGuAkVClyRWI8wg%3D%3D
,,Piezo Buzzer,,TDK Corporation,Digikey,,1,, $0.86 , $-   ,,,https://www.digikey.ca/en/products/detail/tdk-corporation/PS1240P02BT/935924
,,RJ 11 Connector,,TE Connectivity AMP Connectors,Digikey,,1,, $1.45 , $-   ,,,https://www.digikey.ca/en/products/detail/5555165-1/A31422-ND/769566?curr=usd&utm_campaign=buynow&utm_medium=aggregator&utm_source=octopart
,,10 uF Capacitor,,KEMET,Mouser,,1,, $1.06 , $-   ,,,https://www.mouser.ca/ProductDetail/KEMET/C430C106K3R5TA?qs=QTajy0ParP4Iyid6Jgh%2FcQ%3D%3D
,,3.5 mm Mono Switch Jack,,CUI Devices,Digikey,,1,, $2.85 , $-   ,,,https://www.digikey.ca/en/products/detail/cui-inc/SJ1-3535NG/738699
,,"3.5 mm Stereo Jack, TRRS",,CUI Devices,Digikey,,1,, $1.96 , $-   ,,,https://www.digikey.ca/en/products/detail/cui-devices/SJ-43514/368146
,,50 mm Qwiic Cable,,SparkFun Electronics,Digikey,,1,, $1.37 , $-   ,,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-14426/7652739
,,Adafruit Nunchuk Breakout Board,,Adafruit Industries LLC.,Digikey,,1,, $4.25 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4836/13577615
,"0.25"" Dome light pipe",Light Pipe,,Dialight,Digikey,,1,, $1.80 , $-   ,,,https://www.digikey.ca/en/products/detail/dialight/51513030250F/4965201
,,Wii Nunchuk Controller,,OSTENT,Amazon,,1,, $11.99 , $-   ,,,https://www.amazon.ca/dp/B00FJ2LMGK
,,Adafruit QT PY - SAMD21,,Adafruit Industries LLC.,Digikey,,1,, $10.80 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4600/13543375
,,USB to USB C Cable,,CLEEFUN,Amazon,,5,, $19.99 , $-   ,,,https://www.amazon.ca/gp/product/B09XVHNQ3W/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1
,,M3 x 12mm Screw,,Uxcell,Amazon,,60,, $9.99 , $-   ,,,https://www.amazon.ca/uxcellM3-Stainless-Steel-Phillips-Screws/dp/B012TE1TBS/ref=sr_1_11?crid=1BHUM7QK686EM&keywords=m3+x+12mm&qid=1696980028&sprefix=m3+x+12m%2Caps%2C162&sr=8-11
,,IC Op Amp,,Texas Instruments,Digikey,,1,, $5.36 , $-   ,,,https://www.digikey.ca/en/products/detail/texas-instruments/TLV2451CP/277534?s=N4IgTCBcDa4JwDYC0BGAHGuSCsSByAIgAQgC6AvkA
,,MOSFET 100v,,Vishay Siliconix,Digikey,,1,, $3.56 , $-   ,,,https://www.digikey.ca/en/products/detail/vishay-siliconix/IRLD110PBF/812489
,,Sensor Photodiode 850nm,,ams-OSRAM USA Inc.,Digikey,,1,, $1.67 , $-   ,,,https://www.digikey.ca/en/products/detail/osram-opto-semiconductors-inc/BPW34/607274
,,Schottky Diode 20v,,Micro Commercial Co,Digikey,,1,, $0.45 , $-   ,,,https://www.digikey.ca/en/products/detail/micro-commercial-co/1N5817-TP/950394?s=N4IgTCBcDaIIwDkCsAOOB2AtAFQAoGFtMEAREAXQF8g
,,5 mm Green LED,,Kingbright,Digikey,,1,, $1.46 , $-   ,,,https://www.digikey.ca/en/products/detail/kingbright/WP5603ZGDL-SD-G/3084159
,,Capacitor 10000pF / 10nF,,KEMET,Digikey,,1,, $0.33 , $-   ,,,https://www.digikey.ca/en/products/detail/kemet/C315C103M5U5TA7301/6562544
,,Capacitor 33pF,,KEMET,Digikey,,1,, $0.42 , $-   ,,,https://www.digikey.ca/en/products/detail/kemet/C315C330K2G5TA7301/6562533
,,Capacitor 10pF,,Vishay Beyschlag/Draloric/BC Components,,,1,, $0.36 , $-   ,,,https://www.digikey.ca/en/products/detail/vishay-bc-components/K100J15C0GF5TL2/286623
,,Capacitor 1uF,,KEMET,Digikey,,1,, $1.15 , $-   ,,,https://www.digikey.ca/en/products/detail/kemet/C315C105K3R5TA/3726118?s=N4IgTCBcDaIMwE4EFoEHYCMAWZA5AIiALoC%2BQA
,,Trimmer Potentiometers,,Bourns Inc,Digikey,,1,, $4.02 , $-   ,,,https://www.digikey.ca/en/products/detail/bourns-inc/3386P-1-104TLF/1232548
,,200K Ohm Resistor,,YAGEO,Digikey,,1,, $0.15 , $-   ,,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-200K/711
,,CR2032 Battery Holder,,MPD (Memory Protection Devices),Digikey,,1,, $1.67 , $-   ,,,https://www.digikey.ca/en/products/detail/mpd-memory-protection-devices/BU2032SM-BT-GTR/2439521
,,Slide Switch,,E-Switch,Digikey,,1,, $1.09 , $-   ,,,https://www.digikey.ca/en/products/detail/e-switch/EG1218/101726
,,CR2032 Coin Cell Battery,,Amazon,Amazon,,10,, $7.32 , $-   ,,,https://www.amazon.ca/AmazonBasics-Lithium-CR2032-Batteries-10-Pack/dp/B07RXJ4S7Z
,,"0.07"" width Cable Tie",,Panduit Corp.,Digikey,,1000,, $76.45 , $-   ,,,https://www.digikey.ca/en/products/detail/panduit-corp/PLT-6SM-M/280030
,,M2 x 8mm screw,,APM Hexseal,Digikey,,1,, $1.30 , $-   ,,,https://www.digikey.ca/product-detail/en/apm-hexseal/RM2X8MM-2701/335-1155-ND/612919
,,100 mm Qwiic Cable ,,Adafruit Industries LLC.,Digikey,,1,, $1.37 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4210/10230021 
,,4 Pin Male Headers,,Sullins Connector Solutions,Digikey,,1,, $0.19 , $-   ,,,https://www.digikey.ca/en/products/detail/sullins-connector-solutions/PRPC004SAAN-RC/2775250
,,"5 mm Red LED, 2.1V",,Wurth Elektronik,Digikey,,1,, $0.25 , $-   ,,,https://www.digikey.ca/en/products/detail/w%C3%BCrth-elektronik/151051RS11000/4490012 
,,68 Ohm Resistor,,YAGEO,Digikey,,1,, $0.15 , $-   ,,,https://www.digikey.ca/en/products/detail/yageo/CFR-25JB-52-68R/2832
,,7 Pin Male Headers,,"Seeed Technology Co., Ltd.",Digikey,,5,, $0.35 , $-   ,,,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/102010490/19176770 
,,LCD Feedback Screen,,Adafruit Industries LLC.,Digikey,,1,, $30.63 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/938/5774238
,,Qwiic Adapter Board,,SparkFun Electronics,Digikey,,1,, $2.30 , $-   ,,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/DEV-14495/7942483?s=N4IgTCBcDaICIFEBqBaAjAFgwTgKwgF0BfIA
,,Seeed Studio Xiao NRF52840,,"Seeed Technology Co., Ltd.",Digikey,,1,, $15.29 , $-   ,,,"https://www.digikey.ca/en/products/detail/seeed-technology-co.,-ltd/102010448/16652893 "
,,"M2.5 Nut, Nylon",,Essentra Components,Digikey,,1,, $0.20 , $-   ,,,https://www.digikey.ca/en/products/detail/essentra-components/04M025045HN/9677099 
,,"M2.5 x 8 mm Screw, Nylon",,Essentra Components,Digikey,,1,, $0.20 , $-   ,,,https://www.digikey.ca/en/products/detail/essentra-components/50M025045P008/11638585 
,,"0.250"" Ball Bearing",,Mechatronics Bearing Group,Digikey,,1,, $4.41 , $-   ,,,https://www.digikey.ca/en/products/detail/mechatronics-bearing-group/DDRI814ZZRA3P25LY121/9608362 
,,200 mm Qwiic Cable ,,SparkFun Electronics,Digikey,,1,, $2.43 , $-   ,,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-17258/13629029?s=N4IgTCBcDaIAoCUAqBaAjAdjAVgBwgF0BfIA 
,,50 mm Qwiic Cable ,,SparkFun Electronics,Digikey,,1,, $1.53 , $-   ,,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/PRT-17260/13629028
,,8mm Magnet,,"Radial Magnets, Inc.",Digikey,,1,, $1.18 , $-   ,,,https://www.digikey.ca/en/products/detail/radial-magnets-inc/9029/5218824
,,Adafruit LPS22 Pressure Sensor,,Adafruit Industries LLC.,Digikey,,1,, $10.01 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4633/12396897
,,Adafruit LPS33HW Pressure Sensor,,Adafruit Industries LLC.,Digikey,,1,, $18.00 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4414/11201428 
,,Adafruit STEMMA QT / Qwiic Board TLV493D,,Adafruit Industries LLC.,Digikey,,1,, $8.57 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4366/10481837 
,,Qwiic Cable 150 mm to 4 Male Headers,,Adafruit Industries LLC.,Digikey,,1,, $1.37 , $-   ,,,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4209/10230003
,,RJ11 Breakout Board,,SparkFun Electronics,Digikey,,2,, $3.02 , $-   ,,,https://www.digikey.ca/en/products/detail/sparkfun-electronics/BOB-14021/6228638
,,RJ11 Cable,,Assmann WSW Components,Digikey,,1,, $5.00 , $-   ,,,https://www.digikey.ca/en/products/detail/assmann-wsw-components/AT-S-26-6-6-B-7-R/1972588 
,,RJ11 Connector Jack,,TE Connectivity AMP Connectors,Digikey,,1,, $1.45 , $-   ,,,https://www.digikey.ca/en/products/detail/te-connectivity-amp-connectors/5555165-1/769566
,,Tactile Switch,,Omron Electronics,Digikey,,1,, $1.23 , $-   ,,,https://www.digikey.ca/en/products/detail/omron-electronics-inc-emc-div/B3F-5050/368377
,,¼-20 Hex Nut,,Bolt Dropper,Amazon,,100,, $39.99 , $-   ,,,https://www.amazon.ca/gp/product/B06X1FNS96/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
